var_id,name,tier,grade,asset_class,n_studies,posterior_mean,ci95_low,ci95_high,p_positive,p_top3,median_rank,rank_ci_low,rank_ci_high,rank_ci_width,tau_posterior_median,peers,p_beats_peers,registry_published_sharpe,post_decay_sharpe,divergence_flag,indistinguishable_flag,rank_unstable_flag,low_power_flag
V009,TSMOM,1,A,Cross-Asset,5,0.6799,0.4037,0.9213,1.0,0.9993,1,1,2,0.1111,0.1385,V026,0.9475,0.9,0.4106,False,False,False,False
V026,Residual momentum (FF5),1,A,Equities,3,0.3848,0.1159,0.637,0.9965,0.951,2,1,3,0.2222,0.0839,V009,0.0525,0.7,0.2322,True,False,False,False
V010,Revision breadth,1,A,Equities,2,0.2061,-0.0788,0.4765,0.9356,0.6541,3,2,7,0.5556,0.0845,none,0.0063,N/A,0.1237,False,False,False,False
V014,BTC exchange netflows,1,A,Crypto,1,0.0295,-0.4218,0.4807,0.5545,0.2192,5,2,9,0.7778,0.1507,V017,0.5842,N/A,0.0197,False,False,True,False
C008,Fear & Greed Index,3,Candidate-WP,Equities,1,0.007,-0.0873,0.1019,0.5551,0.0169,6,4,9,0.5556,0.1343,none,0.0,N/A,0.0042,False,False,False,True
C010,Short-period RSI (2-5d),3,Candidate-WP,Equities,1,0.0052,-0.0912,0.102,0.541,0.0152,6,4,9,0.5556,0.1243,V009,0.0,N/A,0.003,False,True,False,True
C011,Whale accumulation ratio,3,Candidate-WP,Crypto,1,-0.0024,-0.0979,0.0955,0.4816,0.0116,7,4,9,0.5556,0.1308,"V014,V017",0.2538,N/A,-0.0015,False,True,False,True
C009,Token unlock pressure,3,Candidate-WP,Crypto,1,-0.0065,-0.1026,0.0895,0.4481,0.0098,7,4,9,0.5556,0.1436,V014,0.4329,N/A,-0.0039,False,True,False,True
V017,BTC ETF net flows,1,B,Crypto,1,-0.0279,-0.4118,0.344,0.4445,0.1229,8,3,9,0.6667,0.1445,V014,0.4158,N/A,-0.019,False,True,False,False
