var_id,name,tier,grade,asset_class,n_studies,posterior_mean,ci95_low,ci95_high,p_positive,p_top3,median_rank,rank_ci_low,rank_ci_high,rank_ci_width,tau_posterior_median,peers,p_beats_peers,registry_published_sharpe,post_decay_sharpe,divergence_flag,indistinguishable_flag,rank_unstable_flag,low_power_flag
C005,200-DMA regime filter,3,Candidate-PR,Equities,1,0.0087,-0.0874,0.1005,0.5796,1.0,2,1,3,0.6667,0.0827,none,0.3959,N/A,0.0057,False,False,False,False
C002,VIX term structure slope,3,Candidate-PR,Cross-Asset,1,0.0075,-0.0872,0.1038,0.5604,1.0,2,1,3,0.6667,0.1011,none,0.383,N/A,0.0043,False,False,False,False
C007,Market breadth (pct >200-DMA),3,Candidate-WP,Equities,1,-0.0005,-0.0484,0.0478,0.4895,1.0,2,1,3,0.6667,0.0759,none,0.221,N/A,-0.0003,False,True,False,False
